timestamp,gpu_freq_mhz,gpu_power_w,gpu_render_pct,gpu_video_pct,gpu_rc6_pct
16:59:16,601,88.52,86.51,0.00,3.57
16:59:18,0,57.38,3.08,0.00,0.53
16:59:19,698,73.22,56.40,3.13,2.65
16:59:21,151,55.60,3.88,2.72,0.23
16:59:23,606,72.08,40.50,0.00,2.44
16:59:25,358,87.50,1.02,0.00,0.51
16:59:27,925,50.96,66.12,2.45,4.57
16:59:29,579,61.50,46.26,2.28,2.35
16:59:31,1052,43.22,79.17,2.16,5.82
16:59:32,570,90.23,0.00,100.00,0.58
16:59:34,882,63.14,59.48,3.82,4.47
16:59:36,695,51.37,91.39,0.00,4.59
16:59:38,591,84.46,83.86,4.17,3.61
16:59:40,712,72.01,68.35,1.88,5.03
16:59:42,442,85.26,26.75,100.00,1.31
16:59:44,485,47.22,41.44,2.51,2.78
16:59:46,227,80.92,29.08,2.14,0.85
16:59:47,491,60.31,66.28,4.37,2.00
16:59:49,665,87.33,88.34,1.35,3.80
16:59:51,166,46.77,0.00,100.00,0.23
16:59:53,631,52.53,96.14,0.00,3.88
16:59:55,598,52.48,68.56,0.00,3.78
16:59:57,203,88.27,5.15,100.00,0.38
16:59:59,496,49.40,59.90,2.83,3.13
17:00:01,289,89.75,42.48,0.00,1.13
17:00:02,941,75.73,79.78,3.66,5.50
17:00:04,326,76.78,0.00,100.00,0.45
17:00:06,716,87.47,83.76,2.40,3.66
17:00:08,811,71.14,79.09,2.65,4.61
17:00:10,734,55.16,81.30,2.17,3.48
17:00:12,597,86.55,77.88,2.02,3.32
17:00:14,0,71.98,0.00,0.00,0.20
17:00:16,697,55.63,89.51,0.20,4.70
17:00:18,443,58.67,39.54,3.13,2.12
17:00:19,453,84.79,13.94,2.25,0.86
17:00:21,396,78.88,50.89,2.47,1.86
17:00:23,484,63.53,53.37,2.30,2.52
17:00:25,829,72.59,95.65,0.00,7.12
17:00:27,613,43.37,72.17,3.04,3.38
17:00:29,272,88.92,3.42,0.00,0.33
17:00:31,895,46.61,77.82,2.37,5.64
17:00:33,834,61.69,47.46,2.22,2.71
17:00:34,0,56.19,4.82,2.63,0.52
17:00:36,361,52.59,30.95,6.46,2.46
17:00:38,1034,50.36,95.48,0.00,7.22
17:00:40,635,91.03,93.94,0.00,4.10
17:00:42,172,34.54,6.22,0.00,0.26
