timestamp,cpu_usage_pct,cpu_temp_c,mem_used_mb,mem_total_mb,mem_pct,ffmpeg_count,ffmpeg_cpu,unity_pid,unity_cpu,unity_mem
16:59:16,26.5,20.0,,2,600.2,6391,0.0,0.1
16:59:18,27.8,20.0,,2,604.4,6391,0.0,0.1
16:59:19,13.4,20.0,,2,608.3,6391,0.0,0.1
16:59:21,24.8,20.0,,2,612.3,6391,0.0,0.1
16:59:23,12.7,20.0,,2,614.3,6391,0.0,0.1
16:59:25,5.6,20.0,,2,609.7,6391,0.0,0.1
16:59:27,9.1,20.0,,2,603.9,6391,0.0,0.1
16:59:29,13.1,20.0,,2,600,6391,0.0,0.1
16:59:31,13.3,20.0,,2,593.1,6391,0.0,0.1
16:59:32,15.4,20.0,,2,589.1,6391,0.0,0.1
16:59:34,26.7,20.0,,2,585.3,6391,0.0,0.1
16:59:36,11.9,20.0,,2,582.4,6391,0.0,0.1
16:59:38,7.2,20.0,,2,578.3,6391,0.0,0.1
16:59:40,7.6,20.0,,2,576.3,6391,0.0,0.1
16:59:42,8.8,20.0,,2,574.4,6391,0.0,0.1
16:59:44,11.2,20.0,,2,576.3,6391,0.0,0.1
16:59:46,10.8,20.0,,2,577.2,6391,0.0,0.1
16:59:47,17.2,20.0,,2,577.3,6391,0.0,0.1
16:59:49,10.6,20.0,,2,577.3,6391,0.0,0.1
16:59:51,12.4,20.0,,2,578.3,6391,0.0,0.1
16:59:53,13.4,20.0,,2,578.2,6391,0.0,0.1
16:59:55,26.8,20.0,,2,579.2,6391,0.0,0.1
16:59:57,5.5,20.0,,2,580.3,6391,0.0,0.1
16:59:59,17.2,20.0,,2,581.3,6391,0.0,0.1
17:00:01,13.0,20.0,,2,583.3,6391,0.0,0.1
17:00:02,10.4,20.0,,2,585.3,6391,0.0,0.1
17:00:04,10.3,20.0,,2,586.4,6391,0.0,0.1
17:00:06,7.2,20.0,,2,586.3,6391,0.0,0.1
17:00:08,17.4,20.0,,2,586.3,6391,0.0,0.1
17:00:10,18.0,20.0,,2,584.4,6391,0.0,0.1
17:00:12,6.8,20.0,,2,582.3,6391,0.0,0.1
17:00:14,7.2,20.0,,2,582.4,6391,0.0,0.1
17:00:16,17.9,20.0,,2,584.4,6391,0.0,0.1
17:00:18,11.8,20.0,,2,587.4,6391,0.0,0.1
17:00:19,21.9,20.0,,2,589.3,6391,0.0,0.1
17:00:21,31.1,20.0,,2,591.4,6391,0.0,0.1
17:00:23,26.9,20.0,,2,592.3,6391,0.0,0.1
17:00:25,11.1,20.0,,2,593.4,6391,0.0,0.1
17:00:27,8.0,20.0,,2,592.4,6391,0.0,0.1
17:00:29,7.5,20.0,,2,591.4,6391,0.0,0.1
17:00:31,13.1,20.0,,2,589.4,6391,0.0,0.1
17:00:33,9.4,20.0,,2,589.4,6391,0.0,0.1
17:00:34,6.8,20.0,,2,589.4,6391,0.0,0.1
17:00:36,7.9,20.0,,2,588.4,6391,0.0,0.1
17:00:38,10.9,20.0,,2,587.4,6391,0.0,0.1
17:00:40,21.4,20.0,,2,585.4,6391,0.0,0.1
17:00:42,3.2,20.0,,1,535,6391,0.0,0.1
